iter	Passed	Remaining
594	1300	885
595	1303	883
596	1304	880
597	1307	878
598	1309	876
599	1310	873
600	1312	871
601	1314	868
602	1315	866
603	1318	864
604	1319	861
605	1321	859
606	1323	857
607	1325	854
608	1326	851
609	1328	849
610	1330	847
611	1332	844
612	1334	842
613	1336	840
614	1338	837
615	1339	835
616	1341	832
617	1343	830
618	1344	827
619	1346	825
620	1349	823
621	1351	821
622	1353	818
623	1354	816
624	1356	813
625	1358	811
626	1360	809
627	1362	806
628	1364	804
629	1366	802
630	1367	799
631	1369	797
632	1371	795
633	1373	792
634	1375	790
635	1378	788
636	1379	786
637	1381	783
638	1383	781
639	1385	779
640	1386	776
641	1388	774
642	1390	772
643	1393	770
644	1395	768
645	1397	766
646	1399	763
647	1401	761
648	1403	758
649	1405	756
650	1407	754
651	1410	752
652	1412	750
653	1414	748
654	1415	745
655	1417	743
656	1419	741
657	1423	739
658	1425	737
659	1427	735
660	1429	733
661	1430	730
662	1432	728
663	1434	725
664	1437	724
665	1439	721
666	1441	719
667	1443	717
668	1445	714
669	1447	712
670	1449	710
671	1452	708
672	1454	706
673	1456	704
674	1458	702
675	1460	699
676	1461	697
677	1463	695
678	1466	693
679	1468	690
680	1470	688
681	1471	686
682	1473	684
683	1475	681
684	1477	679
685	1479	677
686	1485	676
687	1487	674
688	1490	672
689	1492	670
690	1494	668
691	1498	666
692	1501	665
693	1503	663
694	1505	660
695	1507	658
696	1509	656
697	1511	654
698	1513	651
699	1515	649
700	1517	647
701	1519	645
702	1521	642
703	1523	640
704	1525	638
705	1527	636
706	1529	634
707	1531	631
708	1533	629
709	1535	627
710	1536	624
711	1540	622
712	1542	620
713	1544	618
714	1546	616
715	1549	614
716	1550	612
717	1553	610
718	1556	608
719	1557	605
720	1559	603
721	1561	601
722	1564	599
723	1566	597
724	1567	594
725	1570	592
726	1572	590
727	1574	588
728	1576	586
729	1578	583
730	1580	581
731	1582	579
732	1584	577
733	1585	574
734	1587	572
735	1589	570
736	1591	567
737	1593	565
738	1595	563
739	1596	561
740	1598	558
741	1602	557
742	1604	554
743	1606	552
744	1608	550
745	1609	548
746	1611	545
747	1614	543
748	1617	541
749	1620	540
750	1621	537
751	1623	535
752	1625	533
753	1626	530
754	1628	528
755	1630	526
756	1632	523
757	1634	521
758	1636	519
759	1638	517
760	1640	515
761	1641	512
762	1643	510
763	1645	508
764	1647	506
765	1649	503
766	1651	501
767	1652	499
768	1654	497
769	1656	494
770	1658	492
771	1660	490
772	1662	488
773	1664	485
774	1666	483
775	1667	481
776	1669	479
777	1671	476
778	1673	474
779	1675	472
780	1677	470
781	1678	467
782	1680	465
783	1682	463
784	1683	461
785	1685	458
786	1687	456
787	1689	454
788	1691	452
789	1693	450
790	1694	447
791	1696	445
792	1698	443
793	1699	441
794	1701	438
795	1703	436
796	1705	434
797	1707	432
798	1708	429
799	1710	427
800	1712	425
801	1714	423
802	1716	421
803	1718	418
804	1720	416
805	1721	414
806	1723	412
807	1725	410
808	1727	407
809	1729	405
810	1731	403
811	1732	401
812	1735	399
813	1737	396
814	1738	394
815	1740	392
816	1742	390
817	1744	388
818	1745	385
819	1747	383
820	1749	381
821	1751	379
822	1753	377
823	1755	374
824	1756	372
825	1758	370
826	1760	368
827	1762	366
828	1763	363
829	1765	361
830	1767	359
831	1768	357
832	1770	354
833	1772	352
834	1774	350
835	1775	348
836	1777	346
837	1779	344
838	1781	341
839	1782	339
840	1784	337
841	1786	335
842	1788	333
843	1790	330
844	1791	328
845	1793	326
846	1795	324
847	1797	322
848	1799	320
849	1801	317
850	1803	315
851	1805	313
852	1807	311
853	1809	309
854	1811	307
855	1813	305
856	1815	302
857	1817	300
858	1819	298
859	1821	296
860	1823	294
861	1825	292
862	1827	290
863	1829	287
864	1830	285
865	1832	283
866	1834	281
867	1836	279
868	1837	277
869	1839	274
870	1841	272
871	1843	270
872	1845	268
873	1846	266
874	1849	264
875	1850	262
876	1852	259
877	1854	257
878	1856	255
879	1858	253
880	1860	251
881	1862	249
882	1864	247
883	1865	244
884	1867	242
885	1869	240
886	1871	238
887	1872	236
888	1874	234
889	1876	231
890	1878	229
891	1880	227
892	1882	225
893	1884	223
894	1886	221
895	1888	219
896	1890	217
897	1892	214
898	1893	212
899	1895	210
900	1897	208
901	1899	206
902	1901	204
903	1903	202
904	1906	200
905	1908	197
906	1909	195
907	1911	193
908	1913	191
909	1915	189
910	1917	187
911	1919	185
912	1921	183
913	1923	180
914	1925	178
915	1927	176
916	1929	174
917	1930	172
918	1932	170
919	1934	168
920	1936	166
921	1938	164
922	1941	161
923	1943	159
924	1945	157
925	1947	155
926	1949	153
927	1951	151
928	1953	149
929	1955	147
930	1957	145
931	1958	142
932	1960	140
933	1963	138
934	1965	136
935	1968	134
936	1970	132
937	1973	130
938	1974	128
939	1977	126
940	1979	124
941	1980	121
942	1982	119
943	1984	117
944	1986	115
945	1988	113
946	1991	111
947	1992	109
948	1994	107
949	1996	105
950	1998	102
951	2000	100
952	2001	98
953	2003	96
954	2005	94
955	2007	92
956	2009	90
957	2011	88
958	2013	86
959	2014	83
960	2016	81
961	2018	79
962	2020	77
963	2022	75
964	2024	73
965	2026	71
966	2027	69
967	2029	67
968	2031	64
969	2033	62
970	2034	60
971	2036	58
972	2038	56
973	2040	54
974	2042	52
975	2043	50
976	2045	48
977	2047	46
978	2049	43
979	2050	41
980	2052	39
981	2054	37
982	2056	35
983	2058	33
984	2060	31
985	2062	29
986	2064	27
987	2066	25
988	2068	23
989	2070	20
990	2071	18
991	2073	16
992	2075	14
993	2077	12
994	2078	10
995	2080	8
996	2082	6
997	2084	4
998	2086	2
999	2088	0
